iteration,candidate,elite,frequency_hz,center_front,center_back_left,center_back_right,amplitude_front,amplitude_back_left,amplitude_back_right,phase_front,phase_back_left,phase_back_right,harmonic_front,harmonic_back_left,harmonic_back_right,heading_kp,yaw_kd,turn_front,turn_back_left,turn_back_right,harmonic_phase_front,harmonic_phase_back_left,harmonic_phase_back_right,score,progress,x_distance,y_distance,cross_track_error,heading_error,yaw_distance,target_yaw_distance,yaw_distance_error,planar_drift,min_height,mean_height_warning_deficit,max_height_warning_deficit,mean_height_deficit,max_height_deficit,mean_planar_drift,max_planar_drift,rms_planar_drift,mean_abs_planar_speed,max_abs_planar_speed,mean_abs_yaw_error,mean_abs_roll_pitch_rate,mean_support_deficit,mean_contact_foot_speed,mean_abs_cross_velocity,mean_abs_yaw_rate,mean_action_delta,mean_action_accel,mean_abs_action,length,terminated
0,0,True,1.1720298884015339,0.010886105223573743,-0.004970568517909791,-0.057196330406135046,0.05387739226837701,0.059541107928711486,0.05049230387507073,-0.8748745540617149,1.2705703198986642,-2.942616529563476,0.01917337531713469,-0.037685949470412976,-0.002957167130711174,0.1135304798872938,0.02638434111227541,0.20639396538884316,-0.23541747627185705,0.08610536329965904,-1.0584725011698963,0.7304062003451959,-2.535870139185876,-450.52347698028973,0.2296498724032925,0.0006815922949696867,0.006176687950633614,-0.003388468223424589,-0.6871648204171272,0.2296498724032925,1.44,-1.2103501275967075,0.006216824765974624,0.0686900532357046,0.0,0.0,0.0,0.0,0.003845242668181221,0.006361932269856992,0.004100960194045522,0.007766252023625537,0.019015465872162487,1.1617755874410287,0.020352123659904464,0.0,0.020289811869480874,0.004936917337968839,0.04089255031829164,0.0305653251853073,0.030767768420628273,0.04625711472472176,60,False
0,1,True,0.9597031048074348,0.06035357772963796,-0.08424454462640339,-0.07626401183385473,0.02,0.02,0.11097617986506252,-0.0546486679892757,0.3723882766158373,-2.222371614277704,0.1555822133936023,-0.222445239721481,-0.0016167385377802,0.0,0.05119144695480933,-0.010253925103924866,-0.26921800117795525,-0.2763144829808367,-1.9386478877985005,1.8824406172085366,-2.431317065832355,-600.954604998157,0.34164177806344487,0.00522068564779061,0.00948402611088756,-0.0031902045165695648,-0.5751729147569753,0.34164177806344487,1.44,-1.098358221936555,0.0174110617348269,0.05450480086390336,0.0,0.0,0.0,0.0,0.012395328223765075,0.02727948198702365,0.013824394553713724,0.05815565327241902,0.16951688177339508,1.1424263763878875,0.6992621581652201,0.33125,0.07852604683921739,0.03737281747322366,0.25361025508752266,0.10576623948290945,0.11467015156522394,0.11485498780384659,60,False
0,2,True,0.9548603597513527,-0.287089464425898,0.027528308812981864,0.04877769275139483,0.0959850604870085,0.1802738433146929,0.13795164487022715,-1.8121203553567895,0.5535552422653947,-3.141592653589793,0.06940340737124863,-0.19013569654950285,0.1056084942631193,0.10403250893928041,0.11434570756752274,0.8330578364253153,-0.2684268594555394,-0.26140409793709307,-0.3988362301652506,0.12968573077920365,-3.141592653589793,-646.5393337955135,0.45108063134099496,-0.03392303094562204,-0.013782056528939013,0.0013735458295221128,-0.4657340614794254,0.45108063134099496,1.44,-0.988919368659005,0.03758559046848705,0.06466020170638906,0.0,0.0,0.0,0.0,0.020970449000377187,0.04173019050713936,0.023031726156701172,0.04961219847216956,0.16363724130598284,1.126642513042471,0.37353132175048814,0.35,0.06699716926290006,0.030089151608247048,0.15504549940903536,0.0985555742518045,0.10575491704512388,0.18167274673469364,60,False
0,3,True,1.0376152947547244,0.05823047262037614,-0.23646744370927264,-0.10008267883035775,0.26232630427424797,0.02,0.27310373627045104,-3.0782513795857303,0.5898667760535501,-3.141592653589793,0.0411375682446138,-0.04154814337637042,-0.019852134029023014,0.0,0.0,-0.23422610486268178,0.09827691002622901,-0.06277966009874267,-0.6753907930238388,-0.22418653139506795,-1.1608322586572146,-670.4557158061195,0.3706829378132064,0.001791067841567771,0.031334727826595625,-0.027868597007793056,-0.5461317550072136,0.3706829378132064,1.44,-1.0693170621867936,0.03181617347202665,0.05037231753162704,0.0,0.0,0.0,0.0,0.01696357544074003,0.039443888605225255,0.019270900743206056,0.03846341559601271,0.1278621534347434,1.1408300313187463,0.4107734173478093,0.2875,0.060913628460609076,0.02609425670428449,0.09118313893568608,0.08560372228967025,0.06529928052332251,0.1945396242197603,60,False
0,4,True,1.449841823972099,0.26125279552906583,-0.05578581079208455,-0.12999817526855773,0.02,0.10315752924569212,0.02,-0.8410853309260187,1.1776618171617885,-1.6048781841044304,0.0293706469892903,-0.13383354385983146,-0.008985462251090537,0.13863922681456056,0.0,-0.009877167896890887,0.2342674923641015,0.6919602521689906,0.8805835592543767,2.0919443220614777,-1.8809619566030609,-704.6059723354012,0.23526896916690787,-0.004914898813403483,-0.02560254437658665,0.014815311529988268,-0.6815457236535125,0.23526896916690787,1.44,-1.204731030833092,0.026079968942317976,0.05106375775681175,0.0,0.0,0.0,0.0,0.01656584871478236,0.027672019726662306,0.01748881724040901,0.04299881180146101,0.10971232876698758,1.1610188961493475,0.30892133824090706,0.0,0.03316449972800162,0.029632765654235785,0.14261876589392586,0.06471876357682049,0.09481675541028381,0.16821590447798374,60,False
0,5,True,1.0930206862992533,-0.18061454294641105,0.0666622747149026,0.13032671817753044,0.02,0.02,0.14140305106482476,-0.21687989349785752,0.9056599389246855,-3.141592653589793,0.19463726907690934,-0.06988403531983174,-0.0857702473273142,0.0,0.022769944867208486,-0.059969389138568946,-0.809870434620614,-0.2851687516273028,-1.1712679376666906,0.8627361684557702,-3.141592653589793,-714.946909274672,0.45989166110085344,0.03164949720413834,-0.015110942296063226,0.02312664025746966,-0.4569230317195667,0.45989166110085344,1.44,-0.9801083388991465,0.03507392580580397,0.04331039019061461,0.0006018616633482283,0.006689609809385395,0.0,0.0,0.028414842123943386,0.04222702395113667,0.029371483836616214,0.04571848068368223,0.1648159067889497,1.125087516273802,0.491910530248424,0.41875,0.06251159173192421,0.029490647063076702,0.15049471197856384,0.10128991578239947,0.12458321424201131,0.1327821516431868,60,False
0,6,True,0.8181226659096491,-0.10064031094535067,0.10439921142506249,-0.16829519610009622,0.18770603333127203,0.02,0.2454130554837979,-0.9881610867468402,1.1831790985474173,-3.141592653589793,-0.03028108689882274,-0.02706601897521557,-0.03402917203135458,0.034021837926688614,0.1685052844048913,-0.016676355355957462,-0.14035330715984148,0.02629543918258176,-1.1710171856175822,0.7579059231980727,-3.141592653589793,-727.5129153295225,0.1862941666730593,0.006363304827968829,0.0062791908196191985,-0.00025383944583395353,-0.7305205261473597,0.1862941666730593,1.44,-1.2537058333269406,0.011449014932286844,0.06005353332212138,0.0,0.0,0.0,0.0,0.014336416362209881,0.024770632799128348,0.01498895770105461,0.03673500587059006,0.1869791149885802,1.167980078202368,0.1661722548538819,0.037500000000000006,0.050428239986683235,0.024739384859855107,0.10479590848466494,0.05641289732884616,0.03601425111992285,0.14670584998093544,60,False
0,7,True,0.7301884252326389,0.18917530656616474,-0.18110510551649733,-0.14077181629231283,0.2859933045779892,0.02,0.02,-0.026097406030074488,1.881094196397937,-3.141592653589793,0.029648245820392816,0.003393739151582878,-0.05663074337501003,0.0,0.1539711545013544,0.343762914448604,-0.5987094435728543,-0.4541123664018737,-1.567146294049858,1.8466007999964758,-1.8430194976964658,-751.3141695469504,0.05421695426193307,0.0006120395903109155,0.00871011381158299,-0.004148266738514199,2.2789949150313062,0.05421695426193307,1.44,-1.3857830457380669,0.008732262848245787,0.0565962866727416,0.0,0.0,0.0,0.0,0.006476592928133304,0.011820673839541863,0.006958573111990364,0.02009260872916007,0.0599767442346284,1.1904509653633357,0.28330143374369077,0.0,0.028950520019265315,0.012607840711014728,0.03137019961175769,0.04212833455530927,0.027124079247005287,0.18059868975542487,60,False
0,8,True,0.9651838140034907,0.07083726148688958,-0.11243386694221222,-0.11722963846039325,0.1228436395391982,0.02,0.02,-1.5583786932589292,-1.1519779354052742,-2.8420020737528913,-0.05825024319458144,-0.19975885563947812,0.04814108724668199,0.1462491688843583,0.0,0.49389993278020994,-0.9337419875392857,-0.05648605410158819,-1.0152727858229897,2.220841484621249,-0.6717802315463994,-957.1788649931066,0.6142978554623204,-0.07221672843858978,-0.04946323394705743,-0.0009006297460538819,-0.3025168373580991,0.6142978554623204,1.44,-0.8257021445376795,0.08787037172637381,0.06411762480350276,0.0,0.0,0.0,0.0,0.047746849795413986,0.087943795622416,0.05435551036716904,0.04340527161047647,0.12409751703269989,1.1003571954580287,0.38254307066235926,0.0,0.06645209000791746,0.025470862936603993,0.11568599477284869,0.07925911986676511,0.08777153116534464,0.12589574167504908,60,False
0,9,True,0.41230968672539514,-0.1041441703717019,-0.00043753278275683594,-0.04536884574636965,0.02,0.02,0.05282717237221764,-2.806883712458603,0.5203753101718496,-3.141592653589793,-0.01955466122393557,0.053868613707993125,-0.1856401815812794,0.3032052554520585,0.0,1.0,-0.6439512165690018,0.19346776450665668,-1.1689161578278549,0.2322758069051174,-2.2743231554296504,-1006.260245103037,0.21901694559331575,0.0544302615735751,0.005239998601785983,0.014922896401569567,-0.6977977472271033,0.21901694559331575,1.44,-1.2209830544066842,0.055089817738793026,0.061278922241933695,0.0,0.0,0.0,0.0,0.03097969962172906,0.057031168210812236,0.03433580423455251,0.018948602077523868,0.056659015903091324,1.164063126938192,0.10444074248880497,0.0,0.028076936603436266,0.009547334718126549,0.06120694637218638,0.029462484267423858,0.017046689285780306,0.08940936913713812,60,False
