update,global_step,sps,recent_return,recent_yaw,recent_length,eval_reward,eval_score,eval_yaw_distance,eval_planar_drift,eval_mean_planar_drift,eval_max_planar_drift,eval_pass_count,eval_length,policy_loss,value_loss,entropy,approx_kl,yaw_neg1_score,yaw_neg1_yaw_distance,yaw_neg1_target_yaw_distance,yaw_neg1_planar_drift,yaw_neg1_mean_planar_drift,yaw_neg1_max_planar_drift,yaw_neg1_pass_gate,yaw_neg1_length,yaw_neg1_terminated,yaw_neg05_score,yaw_neg05_yaw_distance,yaw_neg05_target_yaw_distance,yaw_neg05_planar_drift,yaw_neg05_mean_planar_drift,yaw_neg05_max_planar_drift,yaw_neg05_pass_gate,yaw_neg05_length,yaw_neg05_terminated,yaw_pos05_score,yaw_pos05_yaw_distance,yaw_pos05_target_yaw_distance,yaw_pos05_planar_drift,yaw_pos05_mean_planar_drift,yaw_pos05_max_planar_drift,yaw_pos05_pass_gate,yaw_pos05_length,yaw_pos05_terminated,yaw_pos1_score,yaw_pos1_yaw_distance,yaw_pos1_target_yaw_distance,yaw_pos1_planar_drift,yaw_pos1_mean_planar_drift,yaw_pos1_max_planar_drift,yaw_pos1_pass_gate,yaw_pos1_length,yaw_pos1_terminated
11,5632,191,-323.9023434448242,2.1666896677017213,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0023284878116101027,952.2683639526367,-1.743542656302452,0.000801826681708917,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
12,6144,195,-295.5328497314453,2.1804311943054198,80.0,-87.12478005640234,9.339613329288838,2.298017162767352,0.012128765080281814,0.011662179508494573,0.024179323276664864,1,80.0,-0.0023581632412970066,1116.783935546875,-1.7444330900907516,0.0009100497118197381,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,9.339613329288838,2.298017162767352,2.88,0.012128765080281814,0.011662179508494573,0.024179323276664864,1,80,0
13,6656,200,-289.9158367919922,2.1742055225372314,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0040024431655183434,1420.642105102539,-1.7449567466974258,0.0011736343149095774,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
14,7168,203,-276.1464279174805,2.1651543283462527,80.0,-79.63193378074345,9.437222324726761,2.2849689903253645,0.007728018303852137,0.010865370187007672,0.01974429430775138,1,80.0,-0.0002615319099277258,1067.052719116211,-1.74544657766819,0.0008116946555674076,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,9.437222324726761,2.2849689903253645,2.88,0.007728018303852137,0.010865370187007672,0.01974429430775138,1,80,0
15,7680,207,-266.9028775024414,2.1699917030334475,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0010701597202569246,1390.4797668457031,-1.7461276352405548,0.00024437750107608736,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
16,8192,209,-267.7662631225586,2.1632811880111693,80.0,-103.10875929601954,8.806874486102613,2.2723394857220907,0.024403300441146022,0.012087439635926997,0.032330651847572535,1,80.0,-0.0021599638275802135,2004.5359954833984,-1.7467014789581299,0.0008250415557995439,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.806874486102613,2.2723394857220907,2.88,0.024403300441146022,0.012087439635926997,0.032330651847572535,1,80,0
17,8704,212,-276.6772448730469,2.1660648727416993,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0030118994181975722,1510.5919799804688,-1.7471470087766647,0.0005944909353274852,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
18,9216,213,-269.59364227294924,2.157653431892395,80.0,-127.00554058545762,8.760962868283372,2.28613380883249,0.023988046942711602,0.01556951472531741,0.035325073140174704,1,80.0,-0.0015092790126800537,818.7760696411133,-1.7476044595241547,0.00042966686305589974,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.760962868283372,2.28613380883249,2.88,0.023988046942711602,0.01556951472531741,0.035325073140174704,1,80,0
19,9728,217,-271.63132629394534,2.137074987888336,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.002291706157848239,987.0267791748047,-1.7480761408805847,0.0008038238156586885,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
20,10240,220,-272.75359924316405,2.1426914167404174,80.0,-166.90979273405935,4.695495915324231,2.267954185433557,0.030283947652945165,0.020874085179074527,0.04314799024079253,0,80.0,-0.0012540662719402462,1540.7567901611328,-1.7483916133642197,0.000889971706783399,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,7.195495915324231,2.267954185433557,2.88,0.030283947652945165,0.020874085179074527,0.04314799024079253,0,80,0
21,10752,225,-263.28797821044924,2.1421982717514036,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0015402310527861118,645.6778259277344,-1.74872887134552,0.00040574491140432656,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
22,11264,227,-262.37170562744143,2.143997001647949,80.0,-96.4414676599093,8.404166073944149,2.2316835611774364,0.028872601691001674,0.01225708752521146,0.03527384658654585,1,80.0,-0.0011414227774366736,929.2920303344727,-1.7488564997911453,0.0004748171486426145,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.404166073944149,2.2316835611774364,2.88,0.028872601691001674,0.01225708752521146,0.03527384658654585,1,80,0
23,11776,231,-271.01082427978514,2.1241167688369753,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0009474039543420076,2235.292022705078,-1.7487842738628387,0.0005351805011741817,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
24,12288,233,-258.1648049926758,2.1325091195106505,80.0,-79.47524758470921,8.767814654925802,2.231439030125139,0.01983497332444898,0.009603146122758123,0.02708923793598895,1,80.0,-0.0014599787537008524,444.45567321777344,-1.7484618872404099,0.0004370755923446268,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.767814654925802,2.231439030125139,2.88,0.01983497332444898,0.009603146122758123,0.02708923793598895,1,80,0
25,12800,236,-245.10702392578125,2.1343492388725283,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0021292422607075423,920.6499633789062,-1.748024806380272,0.0008261803886853158,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
26,13312,238,-254.84767791748047,2.139894070625305,80.0,-87.99239714802808,8.466185835168282,2.210131020510794,0.02288907187016557,0.010233567177305787,0.03150732454617612,1,80.0,-0.00014421611558645964,2069.5587005615234,-1.7479811310768127,0.000597219419432804,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.466185835168282,2.210131020510794,2.88,0.02288907187016557,0.010233567177305787,0.03150732454617612,1,80,0
27,13824,241,-261.53398193359374,2.141196961402893,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0022259445395320654,1460.4608459472656,-1.7481644749641418,0.0002528903423808515,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
28,14336,243,-254.70801879882814,2.1303604865074157,80.0,-74.578917752142,8.896867525395253,2.236228518132454,0.01755012080308042,0.009816483154345457,0.024186193631535444,1,80.0,-0.00046801171265542507,941.3096084594727,-1.7479517757892609,0.0003842526348307729,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.896867525395253,2.236228518132454,2.88,0.01755012080308042,0.009816483154345457,0.024186193631535444,1,80,0
29,14848,246,-258.69297668457034,2.141341016292572,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.002485688077285886,776.7536087036133,-1.7475836426019669,0.00034168281126767397,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
30,15360,248,-246.31579376220702,2.1577423548698427,80.0,-101.74737299308393,8.912648950760687,2.2703424782571524,0.021058881911607263,0.012173823702564769,0.028879817399171514,1,80.0,-0.001817677984945476,708.8396530151367,-1.7472121566534042,0.000576953956624493,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.912648950760687,2.2703424782571524,2.88,0.021058881911607263,0.012173823702564769,0.028879817399171514,1,80,0
31,15872,251,-251.8419125366211,2.1538077998161316,80.0,nan,nan,nan,nan,nan,nan,0,nan,1.2498348951339722e-05,1601.965805053711,-1.7465173453092575,0.00023732412955723703,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
32,16384,251,-264.41684295654295,2.1492989587783815,80.0,-112.21051639432689,8.679629347440697,2.265683312740272,0.026190903901899324,0.014038658461314218,0.03296784114006136,1,80.0,-0.001950006582774222,1012.5821838378906,-1.7461006492376328,0.00024356044013984501,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.679629347440697,2.265683312740272,2.88,0.026190903901899324,0.014038658461314218,0.03296784114006136,1,80,0
33,16896,247,-263.73787475585937,2.144003219604492,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.002086657186737284,1035.2126922607422,-1.7458926439285278,0.0006544537609443069,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
